"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"40";"«Ул. 800-летия Москвы», Дмитровское шоссе (40)";"37.54599654";"55.87767168";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А63; А763; А763К; А843; А994; АТ78";"Ул. 800-летия Москвы";"";"нет";"";"активна";"889076470";"{type=Point, coordinates=[37.54599654, 55.87767168]}";
"41";"«Бескудниково», Дмитровское шоссе (41)";"37.54704248";"55.87458982";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А63; А763; А763К; А843; А994; АТ78";"Бескудниково";"";"да";"ГУП «Мосгортранс»";"активна";"889076471";"{type=Point, coordinates=[37.54704248, 55.87458982]}";
"42";"«Селигерская ул.», Дмитровское шоссе (42)";"37.54674812";"55.86919544";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А206к; А63; А763; А763К";"Селигерская ул.";"";"нет";"";"активна";"889076472";"{type=Point, coordinates=[37.54674812, 55.86919544]}";
"43";"«Парк Святослава Федорова», Дмитровское шоссе (43)";"37.54848949";"55.86333482";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А179; А194; А206к; А215; А591; А63; А763; А763К; А843; А994; АТ56; АТ78";"Парк Святослава Федорова";"";"нет";"";"активна";"889076473";"{type=Point, coordinates=[37.54848949, 55.86333482]}";
"44";"«Ильменский пр.», Дмитровское шоссе (44)";"37.55318989";"55.86077256";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А179; А194; А206к; А215; А591; А63; А763; А763К; А843; А994; АТ56; АТ78";"Ильменский пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076475";"{type=Point, coordinates=[37.55318989, 55.86077256]}";
"45";"«Метро Верхние Лихоборы - Северный вестибюль», Дмитровское шоссе (45)";"37.55826147";"55.85821217";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А179; А194; А206к; А215; А591; А63; А763; А763К; А843; А994; АТ56; АТ78";"Метро Верхние Лихоборы - Северный вестибюль";"";"да";"ГУП «Мосгортранс»";"активна";"889076476";"{type=Point, coordinates=[37.55826147, 55.85821217]}";
"46";"«7-й автобусный парк», Дмитровское шоссе (46)";"37.56585131";"55.85033933";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А114; А154; А179; А194; А206к; А215; А282; А466; А591; А63; А677; А677К; А692; А82";"7-й автобусный парк";"";"да";"ГУП «Мосгортранс»";"активна";"889076477";"{type=Point, coordinates=[37.56585131, 55.85033933]}";
"47";"«Нижн. Лихоборы», Дмитровское шоссе (47)";"37.5673105";"55.84733792";"Дмитровское шоссе";"Северный административный округ";"Тимирязевский район";"А114; А179; А194; А215; А282; А692; А82";"Нижн. Лихоборы";"";"да";"ГУП «Мосгортранс»";"активна";"889076478";"{type=Point, coordinates=[37.5673105, 55.84733792]}";
"48";"«Метро Петровско-Разумовская», Локомотивный проезд (48)";"37.57585651";"55.83716907";"Локомотивный проезд";"Северный административный округ";"Тимирязевский район";"А114; А204; А282; А461; АТ19";"Метро Петровско-Разумовская";"";"да";"ГУП «Мосгортранс»";"активна";"889076479";"{type=Point, coordinates=[37.57585651, 55.83716907]}";
"49";"«К/т Байкал», Большая Академическая улица (49)";"37.53956854";"55.83714435";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А114; А179; А204; А282; А300; А461; Тб57; А591; АТ19";"К/т Байкал";"";"да";"ГУП «Мосгортранс»";"активна";"889076480";"{type=Point, coordinates=[37.53956854, 55.83714435]}";
"50";"«Стадион Наука», Большая Академическая улица (50)";"37.5328525";"55.83295208";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А114; А179; А204; А282; А461; Тб57; А591; АТ19";"Стадион Наука";"";"да";"ГУП «Мосгортранс»";"активна";"889076481";"{type=Point, coordinates=[37.5328525, 55.83295208]}";
"51";"«Управа района Коптево», улица Зои и Александра Космодемьянских (51)";"37.52242762";"55.82411549";"улица Зои и Александра Космодемьянских";"Северный административный округ";"район Коптево";"А179; А204; А282; А591; А780";"Управа района Коптево";"";"да";"ГУП «Мосгортранс»";"активна";"889076483";"{type=Point, coordinates=[37.52242762, 55.82411549]}";
"52";"«К/т Рассвет», улица Зои и Александра Космодемьянских (52)";"37.51887274";"55.82307265";"улица Зои и Александра Космодемьянских";"Северный административный округ";"район Коптево";"А179; А204; А282; А591; А780";"К/т Рассвет";"";"да";"ГУП «Мосгортранс»";"активна";"889076484";"{type=Point, coordinates=[37.51887274, 55.82307265]}";
"53";"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (53)";"37.51084692";"55.82093531";"улица Зои и Александра Космодемьянских";"Северный административный округ";"Войковский район";"А179; А204; А282; А591; А780";"3-й Новоподмосковный пер.";"";"нет";"";"активна";"889076485";"{type=Point, coordinates=[37.51084692, 55.82093531]}";
"54";"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (54)";"37.51203859";"55.8210445";"улица Зои и Александра Космодемьянских";"Северный административный округ";"Войковский район";"А179; А204; А282; А591; А780";"3-й Новоподмосковный пер.";"";"да";"ГУП «Мосгортранс»";"активна";"889076486";"{type=Point, coordinates=[37.51203859, 55.8210445]}";
"55";"«К/т Рассвет», улица Зои и Александра Космодемьянских (55)";"37.51687828";"55.82237098";"улица Зои и Александра Космодемьянских";"Северный административный округ";"Войковский район";"А179; А204; А282; А591; А780";"К/т Рассвет";"";"да";"ГУП «Мосгортранс»";"активна";"889076487";"{type=Point, coordinates=[37.51687828, 55.82237098]}";
"56";"«Управа района Коптево», улица Зои и Александра Космодемьянских (56)";"37.52300938";"55.82398759";"улица Зои и Александра Космодемьянских";"Северный административный округ";"район Коптево";"А179; А204; А282; А591; А780";"Управа района Коптево";"";"нет";"";"активна";"889076488";"{type=Point, coordinates=[37.52300938, 55.82398759]}";
"57";"«Стадион Наука», Большая Академическая улица (57)";"37.53338601";"55.83304516";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А114; А179; А204; А282; А461; Тб57; А591; АТ19";"Стадион Наука";"";"да";"ГУП «Мосгортранс»";"активна";"889076489";"{type=Point, coordinates=[37.53338601, 55.83304516]}";
"61";"«7-й автобусный парк», Дмитровское шоссе (61)";"37.56536026";"55.85188534";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А194; А206к; А215; А282; А591; А63; А994";"7-й автобусный парк";"";"нет";"";"активна";"889076490";"{type=Point, coordinates=[37.56536026, 55.85188534]}";
"62";"«Метро Верхние Лихоборы - Северный вестибюль», Дмитровское шоссе (62)";"37.55947707";"55.8580184";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А194; А206к; А215; Тб36; А591; А63; А763; А763К; А799; А843; А994; АТ47; АТ56; АТ78";"Метро Верхние Лихоборы - Северный вестибюль";"";"да";"ГУП «Мосгортранс»";"активна";"889076491";"{type=Point, coordinates=[37.55947707, 55.8580184]}";
"63";"«Ильменский пр.», Дмитровское шоссе (63)";"37.5540423";"55.86090628";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А194; А206к; А215; Тб36; А591; А63; А763; А763К; А799; А843; А994; АТ47; АТ56; АТ78";"Ильменский пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076492";"{type=Point, coordinates=[37.5540423, 55.86090628]}";
"64";"«Парк Святослава Федорова», Дмитровское шоссе (64)";"37.54946654";"55.8634774";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А194; А206к; А215; А591; А63; А763; А763К; А799; А843; А994; АТ56; АТ78";"Парк Святослава Федорова";"";"да";"ГУП «Мосгортранс»";"активна";"889076493";"{type=Point, coordinates=[37.54946654, 55.8634774]}";
"65";"«Селигерская ул.», Дмитровское шоссе (65)";"37.54748211";"55.86854848";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А206к; А63; А763; А763К; А799; А843; А994; АТ78";"Селигерская ул.";"";"нет";"";"активна";"889076494";"{type=Point, coordinates=[37.54748211, 55.86854848]}";
"66";"«Бескудниково», Дмитровское шоссе (66)";"37.54811496";"55.87427208";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А63; А763; А763К; А799; А843; А994; АТ78";"Бескудниково";"";"да";"ГУП «Мосгортранс»";"активна";"889076495";"{type=Point, coordinates=[37.54811496, 55.87427208]}";
